Player_Info,Player_Info,Player_Info,Player_Info,Player_Info,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt
PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
201985,AJ Price,1610612754,IND,25.0,8,17,0.471,4,17,0.235,21,52,0.404,1.0,1.0,1.0,3.0,7.0,0.429,22,78,0.282,0.0,2.0,0.0
201189,Aaron Gray,1610612761,TOR,27.0,63,102,0.618,14,40,0.35,6,19,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1733,Al Harrington,1610612743,DEN,32.0,183,314,0.583,17,43,0.395,44,113,0.389,18.0,55.0,0.327,18.0,33.0,0.545,65,213,0.305,0.0,2.0,0.0
201143,Al Horford,1610612737,ATL,26.0,34,48,0.708,9,18,0.5,14,36,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
2744,Al Jefferson,1610612762,UTA,27.0,191,294,0.65,152,321,0.474,172,429,0.401,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0.25,0.0,0.0,0.0
202329,Al-Farouq Aminu,1610612740,NOH,21.0,88,165,0.533,19,61,0.311,30,92,0.326,1.0,10.0,0.1,3.0,7.0,0.429,9,30,0.3,0.0,0.0,0.0
101187,Alan Anderson,1610612761,TOR,29.0,14,22,0.636,3,13,0.231,14,46,0.304,3.0,6.0,0.5,4.0,11.0,0.364,17,44,0.386,0.0,0.0,0.0
202692,Alec Burks,1610612762,UTA,20.0,88,146,0.603,15,56,0.268,35,110,0.318,2.0,9.0,0.222,2.0,3.0,0.667,11,31,0.355,0.0,2.0,0.0
202087,Alonzo Gee,1610612739,CLE,25.0,133,237,0.561,12,74,0.162,38,103,0.369,9.0,28.0,0.321,7.0,28.0,0.25,28,81,0.346,0.0,0.0,0.0
2405,Amar'e Stoudemire,1610612752,NYK,29.0,191,284,0.673,37,119,0.311,83,230,0.361,0.0,2.0,0.0,1.0,6.0,0.167,4,12,0.333,0.0,1.0,0.0
101161,Amir Johnson,1610612761,TOR,25.0,135,191,0.707,23,49,0.469,36,95,0.379,0.0,0.0,0.0,2.0,3.0,0.667,0,2,0.0,0.0,0.0,0.0
2760,Anderson Varejao,1610612739,CLE,29.0,90,144,0.625,10,35,0.286,14,39,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0
101154,Andray Blatche,1610612764,WAS,25.0,41,73,0.562,12,41,0.293,38,124,0.306,0.0,1.0,0.0,0.0,0.0,0.0,2,6,0.333,0.0,0.0,0.0
2765,Andre Emmett,1610612751,NJN,29.0,3,4,0.75,1,1,1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2738,Andre Iguodala,1610612755,PHI,28.0,114,160,0.713,20,47,0.426,77,232,0.332,8.0,18.0,0.444,9.0,18.0,0.5,59,155,0.381,0.0,2.0,0.0
1889,Andre Miller,1610612743,DEN,36.0,133,221,0.602,39,108,0.361,52,140,0.371,1.0,10.0,0.1,2.0,9.0,0.222,14,54,0.259,1.0,10.0,0.1
200745,Andrea Bargnani,1610612761,TOR,26.0,59,100,0.59,28,64,0.438,88,205,0.429,0.0,1.0,0.0,0.0,1.0,0.0,34,113,0.301,0.0,0.0,0.0
2804,Andres Nocioni,1610612755,PHI,32.0,2,3,0.667,2,7,0.286,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,5,0.2,0.0,0.0,0.0
101106,Andrew Bogut,1610612749,MIL,27.0,38,56,0.679,14,56,0.25,9,23,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
101115,Andrew Bynum,1610612747,LAL,24.0,320,453,0.706,100,263,0.38,23,75,0.307,0.0,0.0,0.0,0.0,1.0,0.0,1,4,0.25,0.0,0.0,0.0
202726,Andrew Goudelock,1610612747,LAL,23.0,0,5,0.0,20,31,0.645,20,63,0.317,5.0,8.0,0.625,1.0,1.0,1.0,22,66,0.333,0.0,0.0,0.0
2740,Andris Biedrins,1610612744,GSW,26.0,30,41,0.732,9,22,0.409,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1712,Antawn Jamison,1610612739,CLE,36.0,164,271,0.605,78,199,0.392,88,307,0.287,6.0,14.0,0.429,10.0,28.0,0.357,75,225,0.333,0.0,0.0,0.0
1853,Anthony Carter,1610612761,TOR,37.0,6,8,0.75,3,4,0.75,3,24,0.125,0.0,0.0,0.0,0.0,1.0,0.0,5,13,0.385,0.0,3.0,0.0
201627,Anthony Morrow,1610612751,NJN,26.0,22,40,0.55,27,63,0.429,117,269,0.435,27.0,69.0,0.391,21.0,57.0,0.368,58,159,0.365,0.0,1.0,0.0
1515,Anthony Parker,1610612739,CLE,37.0,13,19,0.684,15,33,0.455,63,136,0.463,8.0,19.0,0.421,15.0,36.0,0.417,27,83,0.325,0.0,0.0,0.0
201576,Anthony Randolph,1610612750,MIN,22.0,61,97,0.629,8,32,0.25,25,70,0.357,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
201229,Anthony Tolliver,1610612750,MIN,27.0,38,52,0.731,1,7,0.143,7,22,0.318,6.0,21.0,0.286,6.0,22.0,0.273,13,58,0.224,0.0,0.0,0.0
202356,Armon Johnson,1610612751,NJN,23.0,12,21,0.571,5,8,0.625,2,11,0.182,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.333,0.0,0.0,0.0
201167,Arron Afflalo,1610612743,DEN,26.0,133,205,0.649,42,114,0.368,66,159,0.415,28.0,72.0,0.389,21.0,38.0,0.553,39,110,0.355,0.0,0.0,0.0
201948,Austin Daye,1610612765,DET,24.0,20,32,0.625,8,24,0.333,32,109,0.294,2.0,10.0,0.2,1.0,5.0,0.2,10,47,0.213,0.0,0.0,0.0
202340,Avery Bradley,1610612738,BOS,21.0,111,173,0.642,5,29,0.172,62,146,0.425,2.0,11.0,0.182,18.0,25.0,0.72,2,18,0.111,0.0,0.0,0.0
1884,Baron Davis,1610612752,NYK,33.0,19,36,0.528,10,25,0.4,13,38,0.342,2.0,3.0,0.667,2.0,5.0,0.4,22,77,0.286,0.0,0.0,0.0
